chart_week,current_week,title,performer,spotify_link
2022-01-01,1,All I Want For Christmas Is You,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2022-01-01,2,Rockin' Around The Christmas Tree,Brenda Lee,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
2022-01-01,3,Jingle Bell Rock,Bobby Helms,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
2022-01-01,4,A Holly Jolly Christmas,Burl Ives,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
2022-01-01,5,Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2022-01-08,1,All I Want For Christmas Is You,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2022-01-08,2,Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2022-01-08,3,Rockin' Around The Christmas Tree,Brenda Lee,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
2022-01-08,4,Jingle Bell Rock,Bobby Helms,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
2022-01-08,5,A Holly Jolly Christmas,Burl Ives,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
2022-01-15,1,Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2022-01-15,2,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2022-01-15,3,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-01-15,4,Shivers,Ed Sheeran,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
2022-01-15,5,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
2022-01-22,1,Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2022-01-22,2,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2022-01-22,3,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-01-22,4,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
2022-01-22,5,Shivers,Ed Sheeran,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
2022-01-29,1,Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2022-01-29,2,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
2022-01-29,3,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-01-29,4,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2022-01-29,5,Super Gremlin,Kodak Black,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
2022-02-05,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
2022-02-05,2,Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2022-02-05,3,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-02-05,4,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2022-02-05,5,Super Gremlin,Kodak Black,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
2022-02-12,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
2022-02-12,2,Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2022-02-12,3,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-02-12,4,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2022-02-12,5,Super Gremlin,Kodak Black,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
2022-02-19,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
2022-02-19,2,Do We Have A Problem?,Nicki Minaj X Lil Baby,
2022-02-19,3,Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2022-02-19,4,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-02-19,5,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2022-02-26,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
2022-02-26,2,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-02-26,3,Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2022-02-26,4,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
2022-02-26,5,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2022-03-05,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
2022-03-05,2,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-03-05,3,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
2022-03-05,4,Easy On Me,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2022-03-05,5,Super Gremlin,Kodak Black,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
2022-03-12,1,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-03-12,2,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
2022-03-12,3,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
2022-03-12,4,Super Gremlin,Kodak Black,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
2022-03-12,5,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2022-03-19,1,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-03-19,2,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
2022-03-19,3,Super Gremlin,Kodak Black,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
2022-03-19,4,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
2022-03-19,5,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2022-03-26,1,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-03-26,2,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2022-03-26,3,Super Gremlin,Kodak Black,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
2022-03-26,4,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
2022-03-26,5,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
2022-04-02,1,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-04-02,2,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2022-04-02,3,Super Gremlin,Kodak Black,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
2022-04-02,4,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
2022-04-02,5,Ghost,Justin Bieber,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
2022-04-09,1,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-04-09,2,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2022-04-09,3,Big Energy,Latto,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
2022-04-09,4,Super Gremlin,Kodak Black,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
2022-04-09,5,Enemy,Imagine Dragons X JID,
2022-04-16,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-04-16,2,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-04-16,3,Big Energy,Latto,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
2022-04-16,4,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
2022-04-16,5,Enemy,Imagine Dragons X JID,
2022-04-23,1,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-04-23,2,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-04-23,3,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-04-23,4,Big Energy,Latto,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
2022-04-23,5,Enemy,Imagine Dragons X JID,
2022-04-30,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-04-30,2,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-04-30,3,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-04-30,4,Big Energy,Latto,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
2022-04-30,5,Enemy,Imagine Dragons X JID,
2022-05-07,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-05-07,2,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-05-07,3,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-05-07,4,Big Energy,Latto,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
2022-05-07,5,Enemy,Imagine Dragons X JID,
2022-05-14,1,Wait For U,Future Featuring Drake & Tems,
2022-05-14,2,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-05-14,3,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-05-14,4,Puffin On Zootiez,Future,https://open.spotify.com/track/1qMMYpVatbRITKCfq1gasi
2022-05-14,5,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-05-21,1,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-05-21,2,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-05-21,3,Wait For U,Future Featuring Drake & Tems,
2022-05-21,4,Moscow Mule,Bad Bunny,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
2022-05-21,5,Titi Me Pregunto,Bad Bunny,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
2022-05-28,1,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-05-28,2,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-05-28,3,N95,Kendrick Lamar,https://open.spotify.com/track/0fX4oNGBWO3dSGUZcVdVV2
2022-05-28,4,Wait For U,Future Featuring Drake & Tems,
2022-05-28,5,Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer",https://open.spotify.com/track/2g6tReTlM2Akp41g0HaeXN
2022-06-04,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-06-04,2,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-06-04,3,Wait For U,Future Featuring Drake & Tems,
2022-06-04,4,Late Night Talking,Harry Styles,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK
2022-06-04,5,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-06-11,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-06-11,2,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-06-11,3,Wait For U,Future Featuring Drake & Tems,
2022-06-11,4,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-06-11,5,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
2022-06-18,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-06-18,2,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-06-18,3,Wait For U,Future Featuring Drake & Tems,
2022-06-18,4,Running Up That Hill (A Deal With God),Kate Bush,https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO
2022-06-18,5,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-06-25,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-06-25,2,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-06-25,3,Wait For U,Future Featuring Drake & Tems,
2022-06-25,4,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-06-25,5,Running Up That Hill (A Deal With God),Kate Bush,https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO
2022-07-02,1,Jimmy Cooks,Drake Featuring 21 Savage,
2022-07-02,2,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-07-02,3,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-07-02,4,Wait For U,Future Featuring Drake & Tems,
2022-07-02,5,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-07-09,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-07-09,2,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-07-09,3,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-07-09,4,Wait For U,Future Featuring Drake & Tems,
2022-07-09,5,Jimmy Cooks,Drake Featuring 21 Savage,
2022-07-16,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-07-16,2,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-07-16,3,First Class,Jack Harlow,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2022-07-16,4,Running Up That Hill (A Deal With God),Kate Bush,https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO
2022-07-16,5,Wait For U,Future Featuring Drake & Tems,
